temporada_alta,dif_min,atraso_15,periodo_dia
ALTO,3.0,0,NOCHE
ALTO,9.0,0,NOCHE
ALTO,9.0,0,NOCHE
ALTO,3.0,0,NOCHE
ALTO,-2.0,0,NOCHE
ALTO,34.0,1,NOCHE
ALTO,-5.0,0,NOCHE
ALTO,-5.0,0,NOCHE
ALTO,40.0,1,NOCHE
ALTO,69.0,1,NOCHE
ALTO,-9.0,0,NOCHE
ALTO,14.0,0,NOCHE
ALTO,-7.0,0,NOCHE
ALTO,-4.0,0,NOCHE
ALTO,-11.0,0,NOCHE
ALTO,-9.0,0,NOCHE
ALTO,-9.0,0,NOCHE
ALTO,-12.0,0,NOCHE
ALTO,15.0,0,NOCHE
ALTO,-2.0,0,NOCHE
ALTO,2.0,0,NOCHE
ALTO,8.0,0,NOCHE
ALTO,-5.0,0,NOCHE
ALTO,52.0,1,NOCHE
ALTO,-5.0,0,NOCHE
ALTO,0.0,0,NOCHE
ALTO,26.0,1,NOCHE
ALTO,-3.0,0,NOCHE
ALTO,-5.0,0,NOCHE
ALTO,2.0,0,NOCHE
ALTO,2.0,0,NOCHE
ALTO,-7.0,0,NOCHE
ALTO,-1.0,0,NOCHE
ALTO,5.0,0,NOCHE
ALTO,-4.0,0,NOCHE
ALTO,1.0,0,NOCHE
ALTO,-5.0,0,NOCHE
ALTO,3.0,0,NOCHE
ALTO,-2.0,0,NOCHE
ALTO,-4.0,0,NOCHE
ALTO,-6.0,0,NOCHE
ALTO,4.0,0,NOCHE
ALTO,-4.0,0,NOCHE
ALTO,-4.0,0,NOCHE
ALTO,-9.0,0,NOCHE
ALTO,-10.0,0,NOCHE
ALTO,0.0,0,NOCHE
ALTO,-2.0,0,NOCHE
ALTO,1.0,0,NOCHE
ALTO,-4.0,0,NOCHE
ALTO,10.0,0,NOCHE
ALTO,20.0,1,NOCHE
ALTO,11.0,0,NOCHE
ALTO,24.0,1,NOCHE
ALTO,-5.0,0,NOCHE
ALTO,-7.0,0,NOCHE
ALTO,14.0,0,NOCHE
ALTO,5.0,0,NOCHE
ALTO,0.0,0,NOCHE
ALTO,25.0,1,NOCHE
ALTO,1.0,0,NOCHE
ALTO,0.0,0,NOCHE
ALTO,-4.0,0,NOCHE
ALTO,13.0,0,NOCHE
ALTO,-3.0,0,NOCHE
ALTO,2.0,0,NOCHE
ALTO,-5.0,0,NOCHE
ALTO,0.0,0,NOCHE
ALTO,-2.0,0,NOCHE
ALTO,3.0,0,NOCHE
ALTO,-9.0,0,NOCHE
ALTO,5.0,0,NOCHE
ALTO,-3.0,0,NOCHE
ALTO,-4.0,0,NOCHE
ALTO,-10.0,0,NOCHE
ALTO,-9.0,0,NOCHE
ALTO,62.0,1,NOCHE
ALTO,2.0,0,NOCHE
ALTO,-8.0,0,NOCHE
ALTO,19.0,1,TARDE
ALTO,60.0,1,TARDE
ALTO,17.0,1,TARDE
ALTO,26.0,1,TARDE
ALTO,14.0,0,TARDE
ALTO,67.0,1,TARDE
ALTO,84.0,1,TARDE
ALTO,63.0,1,TARDE
ALTO,97.0,1,TARDE
ALTO,17.0,1,TARDE
ALTO,90.0,1,TARDE
ALTO,130.0,1,TARDE
ALTO,24.0,1,TARDE
ALTO,77.0,1,TARDE
